checkm_completeness,checkm_contamination,contigs,date_modified,genome_id,genome_length,genome_name,genome_status,taxon_id,assembly_accession,genome_quality_flags,quality_pass,quality_reasons,tested_drug_count,stable_rank
99.78,0.0,109,2019-03-24T04:14:56.921Z,573.24396,5426740,Klebsiella pneumoniae strain MUGSI_312,WGS,573,,,True,,4,008c66413703ef0c103f37519dfc30004b68b445f82af20c3dceeb0b28ed0300
100.0,0.5,113,2017-08-08T21:25:51.113Z,573.13374,5474300,Klebsiella pneumoniae KPN1432ec,WGS,573,,,True,,4,00a17ea6b6ecab780c79c4db7b21b8c75badb09cf52f64a416009f255d9a09c7
99.78,0.0,88,2022-03-25T08:16:44.125Z,573.46078,5390303,Klebsiella pneumoniae INF073,WGS,573,,,True,,4,00c4d6cbf6da7ffd7d7d1bed02ae0a02fb06fb27430f94ff6ce8ca7a33d24734
100.0,0.0,63,2024-03-03T21:02:36.878Z,573.66667,5391604,Klebsiella pneumoniae KP_NORM_BLD_115369,WGS,573,,,True,,4,00c93948af50ee37a732f0dd6b989343918850ae190abb1f7cc8d4ee3d0fa9ca
99.78,0.0,95,2022-03-25T08:29:32.676Z,573.46117,5446933,Klebsiella pneumoniae INF260,WGS,573,,,True,,4,00cb124b4cb76a8e2ae04722035c752c74627629e43b2dc368d46dc34eaa89e0
100.0,0.2,120,2024-03-03T21:19:16.125Z,573.66950,4949809,Klebsiella pneumoniae KP_NORM_BLD_2260,WGS,573,,,True,,4,00e11d7fb46941affae8e345d293109cdf579bf5663f21453d850c294988b59c
99.6,0.0,148,2024-03-03T21:03:13.990Z,573.66687,5397008,Klebsiella pneumoniae KP_NORM_BLD_115981,WGS,573,,,True,,4,00ecc4ff77629b6cbfc9e3c4caa3178be9ba254ccbc5677f4a2c10fcad80d0b8
100.0,0.3,80,2017-08-09T08:30:23.735Z,573.14508,5393905,Klebsiella pneumoniae KPN940ec,WGS,573,,,True,,4,00f9ad1262361702191fd5c2332d9fcf0b132689fa3707d9b027ffab3c47a2b3
99.78,0.11,141,2019-03-24T03:41:09.764Z,573.24323,5807116,Klebsiella pneumoniae strain MRSN19181,WGS,573,,,True,,4,00fabdb7ab51d8c1833c43b33eb98d2e6105e8f388a8981e79191ac045d53030
99.78,0.0,212,2019-03-24T03:16:45.109Z,573.24267,5591171,Klebsiella pneumoniae strain 24,WGS,573,,,True,,4,0104b9eee71e3e274c078ca798f63729e35736a00954f0962774d1e12fbc1ee8
99.78,0.11,39,2019-07-15T16:13:53.063Z,573.26208,5432239,Klebsiella pneumoniae strain 5012STDY7312665,WGS,573,GCA_900775425.1,,True,,4,0105d0b1c74be9b91a47a2bfb774165959f0da4cec74eea3dfe38098c3ef478b
100.0,0.3,148,2017-08-09T04:23:51.145Z,573.14116,5824681,Klebsiella pneumoniae KPN394ec,WGS,573,,,True,,4,010fb5e76ebb86a70750f19775b0d22374ef8631b11abef395601200b970dfa5
100.0,0.0,73,2017-08-09T07:18:56.832Z,573.14403,5501614,Klebsiella pneumoniae KPN796ec,WGS,573,,,True,,4,012ebe137dcad1903c5481b8915963336643626e17e6bf95db620ce4048ea38c
100.0,0.0,48,2024-03-03T21:02:45.520Z,573.66683,5410460,Klebsiella pneumoniae KP_NORM_BLD_115757,WGS,573,,,True,,4,0132fcd85969864937efbdca50c1ca2e1c87dcb9f4c58a020e06c88ce9d7cb99
100.0,0.0,98,2017-08-09T05:46:02.668Z,573.14275,5429548,Klebsiella pneumoniae KPN606ec,WGS,573,,,True,,4,013aff52d7e9c059c72e45ba8c8dbf9a5f14a62a76a0211d98baf7a69b9d3e1b
100.0,0.0,77,2024-03-03T21:10:01.817Z,573.66787,5432389,Klebsiella pneumoniae KP_NORM_BLD_1342,WGS,573,,,True,,4,014117426a821481612825a857563a5ba85595c09a173605d6f30d0918304580
100.0,0.0,91,2017-08-09T05:34:54.260Z,573.14253,5479591,Klebsiella pneumoniae KPN579ec,WGS,573,,,True,,4,01462bf639b3e56e15a4b66e76db7f30a6e4f16d46b023531dfbca34e8c0e7ac
99.9,0.0,60,2024-03-03T21:15:18.164Z,573.66869,5156951,Klebsiella pneumoniae KP_NORM_BLD_2009_63807,WGS,573,,,True,,4,015f316f5ab911edea7146dfe3bc82abc27b243505cef0b7b98d5dfcd8ebe5f7
100.0,0.0,32,2016-09-12T12:08:50.964Z,573.5803,5412783,Klebsiella pneumoniae strain PB171,WGS,573,GCF_900092855.1,,True,,4,0181d82066d5a94bd7960013bf60d0d943a9e4541fb89548d462a65a7ea68e3a
100.0,0.0,115,2017-08-09T01:53:36.388Z,573.13862,5649086,Klebsiella pneumoniae KPN2036ec,WGS,573,,,True,,4,01935699e24eea4dde8070b80c1082ca23eeb9641d754ed9d0c03c3b91b2c9d4
100.0,0.0,106,2017-08-08T17:04:38.432Z,573.13157,5485535,Klebsiella pneumoniae KPN1162ec,WGS,573,,,True,,4,01b74e17d0a15aff002bed22ba12554d388e5bc7986bfb08aeb0b0cbe8150665
100.0,0.0,69,2017-08-08T18:18:41.753Z,573.13295,5511968,Klebsiella pneumoniae KPN1334ec,WGS,573,,,True,,4,01d21c7634ddfd2a77735d7684a00b15aa3da6be6d51f36f1168533021873839
100.0,0.0,68,2024-03-03T21:28:50.790Z,573.67094,5242590,Klebsiella pneumoniae KP_NORM_BLD_62934,WGS,573,,,True,,4,01d9c862359283e8292c4a46f7245ea19ce5b10f64462bbab16cb3117823b379
100.0,0.0,71,2017-08-09T02:16:48.444Z,573.13897,5386850,Klebsiella pneumoniae KPN2075ec,WGS,573,,,True,,4,01fd216396806d572ca9dd598b136af0b50bca5c028b5ad7534d3af5db0a67e6
100.0,0.3,116,2017-08-08T16:19:24.998Z,573.13073,5471371,Klebsiella pneumoniae KPN1055ec,WGS,573,,,True,,4,0219631bcfb66666193131fc9f32d81beaac6217cb4a447f6c14b438f9bf855d
100.0,0.0,129,2017-08-09T06:52:57.628Z,573.14371,5532447,Klebsiella pneumoniae KPN752ec,WGS,573,,,True,,4,02712624ee45177196bef2c3c677393997f0666b7689efa50b6090d0772ee806
100.0,0.3,169,2016-01-17T16:40:19.159Z,573.1726,5736342,Klebsiella pneumoniae strain KpVA-8,WGS,573,GCF_001182525.1,,True,,4,02a3c4cb1be216dd1458d256a2015f75de0cf996e867fd6936dc6b29ac0c96f6
100.0,0.0,96,2017-08-09T04:38:27.713Z,573.14147,5409009,Klebsiella pneumoniae KPN427ec,WGS,573,,,True,,4,02b05ef735137b969932a7bc3b79ca8a1c8f7e65c4e6d528ca3a813072cb06e9
100.0,0.0,97,2017-08-08T22:41:31.915Z,573.13512,5500320,Klebsiella pneumoniae KPN1587ec,WGS,573,,,True,,4,02baa5b7c06ed205a51060abf4bcb4e8fdb2eed32767039b5962ed363d493de0
100.0,0.3,349,2017-08-08T14:55:20.044Z,573.12952,5432515,Klebsiella pneumoniae 3324,WGS,573,,,True,,4,02c65bb3e7c864d3d5ef59a7d8f5e10afaf3d241e5afe1d6356a296e5e59314f
99.78,0.0,38,2019-07-15T15:42:34.675Z,573.26146,5454508,Klebsiella pneumoniae strain 5012STDY7312581,WGS,573,GCA_900774815.1,,True,,4,02c762b32b4ef00473c5efe124821e2a66db94d49c346d23400facef70c1ecde
100.0,0.0,98,2016-08-27T06:52:40.674Z,573.5638,5860872,Klebsiella pneumoniae strain 12_BR_13,WGS,573,GCF_001701895.1,,True,,4,02c9150bcac946aadea52c3b7f3f5c9bbbd3d781e3f6de72880a3c8a277e78d8
100.0,0.0,118,2017-08-08T21:07:51.428Z,573.13330,5513942,Klebsiella pneumoniae KPN1380ec,WGS,573,,,True,,4,02d2a4f065e5a973bf79ae2e36644d1b8b4b71911ccf7f86d0e304bb87227843
100.0,0.0,110,2017-08-09T01:01:16.505Z,573.13770,5475073,Klebsiella pneumoniae KPN1913ec,WGS,573,,,True,,4,02e8edd4ab79804b331b3d5fd5cb1d3d8e03aa08339bb8aab84beff30c3ba6fa
100.0,0.1,121,2017-08-08T21:41:49.593Z,573.13401,5535640,Klebsiella pneumoniae KPN1461ec,WGS,573,,,True,,4,0309a21536c5de287a51fba9b5feb83f9c08d29498198720e51d06e806ec043a
100.0,0.0,282,2017-08-08T14:43:44.977Z,573.12935,5447659,Klebsiella pneumoniae 104,WGS,573,,,True,,4,0329e71e48d6ecebbdb703bee484ec22b5165312fac116c86e59fc6964fbec4f
99.78,0.11,92,2019-07-15T15:38:16.797Z,573.26140,5578326,Klebsiella pneumoniae strain 5012STDY7312579,WGS,573,GCA_900774755.1,,True,,4,0340b42f68a096d63ec8cb2bb409323e0c01c4cd01302a39eb2ad3f8d41f24a9
99.78,0.44,203,2019-03-24T04:00:50.929Z,573.24369,5695659,Klebsiella pneumoniae strain MUGSI_180,WGS,573,,,True,,4,0363bd060d3cb3e37449d35c85bb68a192ded0d49d6d70d91c6ce33298dcc0fc
100.0,0.0,58,2017-11-30T23:01:57.095Z,573.15621,5393889,Klebsiella pneumoniae strain KSB2_5B,WGS,573,,,True,,4,036b529cd3adaa700020b2be1be52ae1be99ff8862adf76812e19250a2c857ac
100.0,0.3,78,2017-08-09T08:51:53.789Z,573.14538,5488089,Klebsiella pneumoniae KPN980ec,WGS,573,,,True,,4,037d9e500ce6d2785a9d55d712a6b0188cb81cad78409b21750c6ad47437142f
99.78,0.0,47,2022-03-25T08:26:14.163Z,573.46108,5455568,Klebsiella pneumoniae KSB1_8I,WGS,573,,,True,,4,0389f06f8c9b9e21fe1f97593584ccfd1beb9cb30cf8e95e11f8f691465f3f69
100.0,0.0,77,2024-03-03T21:01:16.707Z,573.66656,5449992,Klebsiella pneumoniae KP_NORM_BLD_115323,WGS,573,,,True,,4,03905e456c0a8988996859116a9bffe1537122de2568d8b27db2069865f58e45
99.7,0.3,165,2017-08-09T02:50:45.249Z,573.13950,5575183,Klebsiella pneumoniae KPN2158ec,WGS,573,,,True,,4,03ab0c13ac6447145de265db28fe250133c47fe3540fb44e63c98aeca3608f40
100.0,0.0,133,2017-08-09T00:19:05.802Z,573.13689,5425505,Klebsiella pneumoniae KPN1821ec,WGS,573,,,True,,4,03ac8566361aac0c628a7e5ec92c38f26716c5423b65d00ec0e219b8c6f4d69e
100.0,0.3,145,2017-08-09T05:29:10.974Z,573.14240,6011394,Klebsiella pneumoniae KPN564ec,WGS,573,,,True,,4,03cc2ed60dacb98076ff09b936b1de742435b4c0ffa4aa004b8e47091638ca33
99.7,0.0,92,2017-08-08T16:41:25.023Z,573.13113,5503806,Klebsiella pneumoniae KPN1109ec,WGS,573,,,True,,4,03d4194f56494b7d1857eeb71bdb7fc791ea25d60dafb269f357fe09bba03c0e
100.0,0.2,144,2024-03-03T21:18:17.077Z,573.66825,5317643,Klebsiella pneumoniae KP_NORM_BLD_14177,WGS,573,,,True,,4,03dfc6b05f224a900b24eff83d82c82d6ce2ca3ae671bb14abd333ef7d248824
100.0,0.0,6,2017-11-24T17:17:02.139Z,573.15368,5677989,Klebsiella pneumoniae strain KSB1_10J,Complete,573,GCA_002753035.1,,True,,4,03f24583055dccbb7ac9815d3a11515aa0366ad8aaf7a2d0c913926bafd3a429
100.0,0.0,121,2024-03-03T21:26:54.262Z,573.67049,5658122,Klebsiella pneumoniae KP_NORM_BLD_61902,WGS,573,,,True,,4,03fb45e8bc87f29c05879ab590d2de1c3e889b87923db542e61d9a5ba29bceca
99.78,0.0,86,2022-04-12T01:26:30.297Z,573.46840,5848107,Klebsiella pneumoniae KP-14PI,WGS,573,,,True,,4,03fdd9207cb1ec085928bcc47bf2dc53e67cfdae34d9f94219af4d36d8f76f83
100.0,0.0,55,2024-03-03T21:02:53.770Z,573.66638,5495685,Klebsiella pneumoniae KP_NORM_BLD_114323,WGS,573,,,True,,4,03fde5890e2d41a61158b120e535fc837976f78439b82d399a0cf2a19ef50fd4
100.0,2.3,415,2016-01-17T16:40:17.532Z,573.1721,5728735,Klebsiella pneumoniae strain KpVA-3,WGS,573,GCF_001182425.1,,True,,4,0402b516e46f7995939e042c4a9a7ef88f7ed70e6f9237bb6eaa92a4db84b945
99.78,0.0,96,2019-07-15T15:39:44.952Z,573.26137,5488506,Klebsiella pneumoniae strain 5012STDY7312753,WGS,573,GCA_900774725.1,,True,,4,04035c388be61cc397047823251dd164395381b75eaa84f7308cf5d0a8bfac26
99.78,0.11,109,2019-01-31T07:06:00.080Z,573.23198,5484769,Klebsiella pneumoniae strain KP_208,WGS,573,GCA_003936425.1,,True,,4,0406f5826d11e287019612793c185ed21a9d050fbf0e58209a064b54093bd178
100.0,0.0,105,2017-08-08T16:43:54.722Z,573.13119,5718338,Klebsiella pneumoniae KPN1117ec,WGS,573,,,True,,4,040e2603088d375c2d80f06deec0e67880150ba844a9653565cf57fdd8877d39
98.3,0.4,82,2017-08-09T06:15:08.823Z,573.14328,5617426,Klebsiella pneumoniae KPN700ec,WGS,573,,,True,,4,041874fa57941d52dccb9f3c3fafc134124c2b46009fd083e9e4e5e4a9d5ad61
100.0,1.0,50,2017-12-01T17:01:35.685Z,573.15569,5469639,Klebsiella pneumoniae strain KSB1_3J,WGS,573,,,True,,4,049eaf5f871ccca6dcc308a2fbaab770a272d3ff95dcd6a9ca950ab2f1133ce1
100.0,0.0,154,2017-08-09T00:36:11.971Z,573.13722,5601186,Klebsiella pneumoniae KPN185ec,WGS,573,,,True,,4,049fb8237d9bfeb7bec79d34ddcdb76d623857c5840fceecd22b4e1f1f646d85
100.0,0.1,75,2024-03-03T21:03:16.684Z,573.66672,5099723,Klebsiella pneumoniae KP_NORM_BLD_115382,WGS,573,,,True,,4,04c2d591ba4a26d84282bbb44f1d35a8ec53aba0299709ac1d765f249a9f6044
100.0,0.0,93,2017-08-09T01:52:49.302Z,573.13859,5660781,Klebsiella pneumoniae KPN2032ec,WGS,573,,,True,,4,04d4f7eadb1ca2a6ca2e947867029e871d89b2c4a6aff3b8f6d878746cdaa8b1
100.0,0.3,302,2017-08-08T15:27:43.568Z,573.12993,5392755,Klebsiella pneumoniae 64,WGS,573,,,True,,4,04e470c25453932b00ac0112bc4dd4dae0a59c9fed1b4aadb833c61fe42cfc50
100.0,0.7,102,2017-08-09T02:17:13.108Z,573.13895,5750485,Klebsiella pneumoniae KPN2072ec,WGS,573,,,True,,4,050be4bc59be8f237bcadb582effe62b7c290d49b5293bd4a7ec58c1b2035d8e
99.7,1.4,205,2017-08-08T21:34:37.342Z,573.13391,5588901,Klebsiella pneumoniae KPN144ec,WGS,573,,,True,,4,051fa567cde074d8d8d3b2c10baf15f23eee22023d249c4c569bbda460b8069b
99.9,0.0,64,2024-03-03T20:34:32.012Z,573.66198,5575724,Klebsiella pneumoniae KP_NORM_BLD_2014_102946,WGS,573,,,True,,4,0543a8b479d74016f68c9b1c95f861766364b26cf5f83f93fb9dedcf1b7f42d3
100.0,0.0,78,2017-08-08T23:32:40.994Z,573.13609,5360691,Klebsiella pneumoniae KPN1706ec,WGS,573,,,True,,4,05884e39570e6191eb97d2731da013684c4e938785418a15967d8162a52e21f6
100.0,0.0,92,2017-08-09T06:02:31.895Z,573.14303,5399957,Klebsiella pneumoniae KPN669ec,WGS,573,,,True,,4,05c187ae08152e7f9a21909cefa8cef88c76fcd89c4e9a9800bac327e5cfe3e7
100.0,0.1,84,2024-03-03T21:21:16.049Z,573.66873,5500836,Klebsiella pneumoniae KP_NORM_BLD_2009_63480,WGS,573,,,True,,4,05c1b83da85f40d026adfe12024279f1c72a7243ef69649c951383039f871b6b
100.0,0.1,58,2024-03-03T21:16:49.095Z,573.66906,5435878,Klebsiella pneumoniae KP_NORM_BLD_2012_86962,WGS,573,,,True,,4,05d204c65c4ecc2b899d1da74f29d9b4a16e1ce20e24250e662d650931a87270
99.78,0.0,75,2019-07-15T15:03:18.795Z,573.26076,5792318,Klebsiella pneumoniae strain 5012STDY7312713,WGS,573,GCA_900774105.1,,True,,4,05dfa6e0e4c3cbdd06d70b2add19601a7d4af4b775c293075c4f8cbd681a9170
100.0,0.0,111,2017-08-08T23:22:12.324Z,573.13585,5510014,Klebsiella pneumoniae KPN1680ec,WGS,573,,,True,,4,05f7e2e8a86073b5dc8a99e603e99ca9fe30f58644e49f056ca28fbe6daae48c
100.0,0.3,93,2017-08-09T08:19:39.193Z,573.14492,5481993,Klebsiella pneumoniae KPN919ec,WGS,573,,,True,,4,0605f6f8e98f7f2c03b5775c366b4f0c4b4f2415b4ba352bdb384f5b7789cd6d
100.0,0.0,69,2016-09-12T11:50:10.457Z,573.5797,5911187,Klebsiella pneumoniae strain PB173,WGS,573,GCF_900092715.1,,True,,4,0616550f129a37296343699dbae1390731c615ed81765949b36ea4f8b33037ed
100.0,0.3,65,2017-08-08T17:10:50.364Z,573.13170,5447893,Klebsiella pneumoniae KPN1177ec,WGS,573,,,True,,4,062d4c3eee88d29ad650c02072839e87b3e834878777f803f1811b2ba0229cdc
100.0,0.7,44,2016-09-12T11:11:48.140Z,573.5793,5582572,Klebsiella pneumoniae strain PB256,WGS,573,GCF_900092675.1,,True,,4,062d4da0c1caca36fa62495e463a1922cdcdd97f69951ceddc3117751dece16b
100.0,0.0,128,2016-09-11T19:16:37.744Z,573.5770,5813542,Klebsiella pneumoniae strain 8_GR_13,WGS,573,GCF_001701505.1,,True,,4,06311530660d9847640c1d696af8b61fa0aa6616539f4257f44faa8d1cc3c782
99.7,0.0,68,2017-08-08T17:00:32.509Z,573.13150,5357984,Klebsiella pneumoniae KPN1152ec,WGS,573,,,True,,4,064b50109f088f4321f03ae25e73a742b5e1a78c7648d16d360f8c5deed7c102
98.0,1.0,64,2017-08-09T03:54:02.377Z,573.14059,5704684,Klebsiella pneumoniae KPN325ec,WGS,573,,,True,,4,06896fb227e2a0aea4b94294b884e9ae636578441755ee21e53095145de16711
100.0,0.7,306,2017-08-08T14:11:54.900Z,573.12891,5398887,Klebsiella pneumoniae 3310,WGS,573,,,True,,4,068b38e27ff249e1fae52d5a141247cd2f0e585e0c092d337418308cd0511a90
100.0,0.0,50,2024-03-03T21:07:24.636Z,573.66745,5518194,Klebsiella pneumoniae KP_NORM_BLD_117583,WGS,573,,,True,,4,0697e0a34fd27ddf824fb9e67ce1ce7db6329fba8de0cfb66725efb7de490242
100.0,0.0,87,2017-08-09T06:39:19.700Z,573.14358,5416023,Klebsiella pneumoniae KPN735ec,WGS,573,,,True,,4,06afce0dd43d45b77706d1d7a2c5683a1ce96067abe8a9fefb9a3dd742d2365d
100.0,0.3,59,2017-08-08T17:08:30.596Z,573.13166,5449103,Klebsiella pneumoniae KPN1171ec,WGS,573,,,True,,4,06bf7979fb1190e670e63339320930b5d89d6c3feb520ed71a49cf93d2f94f22
99.55,0.0,167,2019-03-24T03:59:02.402Z,573.24365,5678319,Klebsiella pneumoniae strain MUGSI_161,WGS,573,,,True,,4,06cf506b84da2cdeddf89a9ad19ff4e6e0e9e0e62364a17c67d1b7afd4417bf7
100.0,0.0,78,2024-03-03T20:58:20.567Z,573.66613,5451083,Klebsiella pneumoniae KP_NORM_BLD_113303,WGS,573,,,True,,4,06ed7c6772ec2df7767106320bd1c073aca536c07cc2e8cc7139c32b8de6250b
99.3,0.7,86,2017-08-09T01:30:58.251Z,573.13821,5498844,Klebsiella pneumoniae KPN1988ec,WGS,573,,,True,,4,0705e26aae97e3e8e707b180f8fcc889655062bf1424ab3de7091696a6cd2c50
100.0,1.2,186,2017-08-08T18:19:36.142Z,573.13299,5362100,Klebsiella pneumoniae KPN1338ec,WGS,573,,,True,,4,0711803831a3de7d9d1af6ac7d765f4984d5cdb87925a97d64b79a3b8b08ca6d
100.0,0.0,43,2016-09-12T12:35:11.459Z,573.5821,5496573,Klebsiella pneumoniae strain W2-13-ERG1,WGS,573,GCF_900093345.1,,True,,4,07171e72ef6824a0e548d6afc990a73ed2bf7dd943ec6f1838f8232a5e125610
100.0,0.0,74,2024-03-03T21:03:53.944Z,573.66678,5392993,Klebsiella pneumoniae KP_NORM_BLD_115734,WGS,573,,,True,,4,07563f4289a3b8263e7469a6d737c85b707e60dccf72eb9bb9657a1eb2c6d4a2
100.0,0.0,141,2017-08-09T04:38:19.266Z,573.14146,5563714,Klebsiella pneumoniae KPN426ec,WGS,573,,,True,,4,075c82633dc25e716dee1f7cf92164a7e06d820b59f26cfe98a0afddcbc03ead
99.78,0.0,37,2022-03-25T08:22:58.538Z,573.46083,5622994,Klebsiella pneumoniae INF114,WGS,573,,,True,,4,076579ce807b8071598336f1d66015098c873d389110b261654b4b1c2c507a54
99.78,0.0,125,2019-07-15T17:11:03Z,573.26318,5609309,Klebsiella pneumoniae strain 5012STDY7626438,WGS,573,GCA_900776505.1,,True,,4,0773d12cb02e93a3d6fe8629058dce2e977c240d20e6b093fe78214d501a98e8
100.0,0.0,141,2017-08-09T05:10:56.592Z,573.14206,5604874,Klebsiella pneumoniae KPN520ec,WGS,573,,,True,,4,0776f7b27f72a2e44ae6eda2bfa8ba43a34cd8061470b079951c44d3e5e44c96
99.78,0.0,102,2019-01-31T07:22:20.171Z,573.23211,5817696,Klebsiella pneumoniae strain KP_160,WGS,573,GCA_003937135.1,,True,,4,077cf13a13d975bc06218429c57056c13238b0894cfc71c693922f24dd6eaceb
100.0,1.8,195,2017-08-08T21:53:46.087Z,573.13428,5521690,Klebsiella pneumoniae KPN1490ec,WGS,573,,,True,,4,078232c17ac85c79d3a9675dd5135ccc2f973787a87e74d6538b0c520f01ccf3
93.76,0.88,249,2018-11-29T02:23:33.100Z,573.22560,5195956,Klebsiella pneumoniae strain SU5,WGS,573,GCA_003664795.1,,True,,4,0790286137eedaed7ad22678ed059cafdae0ac90d5d6e310a696912e7d029dfb
100.0,0.3,114,2017-08-09T08:52:09.725Z,573.14536,5626289,Klebsiella pneumoniae KPN977ec,WGS,573,,,True,,4,07be15243d574dafb999dfbc83f42c9c48572256751bd230ebd82e26c8b67492
100.0,1.3,105,2017-08-09T09:01:48.882Z,573.14550,5442843,Klebsiella pneumoniae KPN999ec,WGS,573,,,True,,4,07f8ccfb52e50f7b6b9c689937aaefc33f24aee14ed12ee862a05dbc42bb0483
99.78,0.0,17,2019-07-15T17:06:02.329Z,573.26309,5116083,Klebsiella pneumoniae strain 5012STDY7626424,WGS,573,GCA_900776415.1,,True,,4,08192940ce2956b17148e08313639b9b672aa9331517a248a55b17579566bc94
100.0,0.0,72,2017-08-08T22:56:33.489Z,573.13537,5388879,Klebsiella pneumoniae KPN1618ec,WGS,573,,,True,,4,0821b0e8aef518d935e52379cfe5a62237ccdca18ee7bdadf9edbefa0149e509
100.0,0.0,91,2017-08-09T02:53:02.659Z,573.13954,5461695,Klebsiella pneumoniae KPN2163ec,WGS,573,,,True,,4,0843bfdc18765280df17fc913809c1299f45c6cf0e4ef12763b9f83f508861ee
100.0,0.0,84,2024-03-03T20:59:54.382Z,573.66632,5590583,Klebsiella pneumoniae KP_NORM_BLD_114291,WGS,573,,,True,,4,085784a82bb8522366a1d94a82d52c16c8f0efa6255f4d67c2734e6457b989b5
100.0,0.0,42,2017-11-30T21:27:44.410Z,573.15513,5293203,Klebsiella pneumoniae strain INF052,WGS,573,,,True,,4,0894fe50a73dc6f09f397376e3d5b884fe636b5c8b30ebcf3ec91cf3667f3e0b
100.0,0.0,193,2017-08-08T21:26:51.526Z,573.13378,5531838,Klebsiella pneumoniae KPN1437ec,WGS,573,,,True,,4,08a374f6c2f6ee60fcd7974857872cb941fa713a16af178a641da08a39f459cb
99.78,0.22,72,2019-07-15T16:35:17.378Z,573.26245,5547637,Klebsiella pneumoniae strain 5012STDY7626363,WGS,573,GCA_900775775.1,,True,,4,08b2d37cfd35849039a78acc8278bae94d15cace6b5aba95e30267524dbb27c8
99.8,0.1,178,2024-03-03T21:23:46.345Z,573.67011,5377171,Klebsiella pneumoniae KP_NORM_BLD_60949,WGS,573,,,True,,4,08b2e5112d8a2435beb9375e087123bfa67c2e2e1fe408c5c5645bb000fdb9f0
99.7,0.0,134,2016-09-11T19:26:34.193Z,573.5777,5657496,Klebsiella pneumoniae strain 14_GR_14,WGS,573,GCF_001701815.1,,True,,4,08b54bbc3f500f9402aa2ba87b7f2937607a4f544b07f2e4167bebb50d0fc328
99.78,0.11,110,2022-03-25T08:16:37.312Z,573.46067,5593503,Klebsiella pneumoniae INF289,WGS,573,,,True,,4,08b90afce881f6d1872dd42bfa9947bf2ec6bcfce0ea3a8397b360fe05ca71b7
100.0,0.0,92,2017-08-09T03:25:39.248Z,573.14009,5468357,Klebsiella pneumoniae KPN271ec,WGS,573,,,True,,4,08d92b3fd3bc010a46668f0e1fb40235849628ef0f5947b9f924d8f79b382e5d
