genome_id,antibiotic,phenotype,evidence
synthetic_002_1,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_002_1,gentamicin,Susceptible,Synthetic fixture
synthetic_002_1,meropenem,Susceptible,Synthetic fixture
synthetic_002_2,ceftazidime,Resistant,Synthetic fixture
synthetic_002_2,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_002_2,gentamicin,Susceptible,Synthetic fixture
synthetic_002_2,meropenem,Susceptible,Synthetic fixture
synthetic_002_3,ceftazidime,Resistant,Synthetic fixture
synthetic_002_3,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_002_3,gentamicin,Susceptible,Synthetic fixture
synthetic_002_3,meropenem,Susceptible,Synthetic fixture
synthetic_003_0,ceftazidime,Resistant,Synthetic fixture
synthetic_003_0,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_003_0,gentamicin,Susceptible,Synthetic fixture
synthetic_003_0,meropenem,Susceptible,Synthetic fixture
synthetic_003_1,ceftazidime,Resistant,Synthetic fixture
synthetic_003_1,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_003_1,gentamicin,Susceptible,Synthetic fixture
synthetic_003_1,meropenem,Susceptible,Synthetic fixture
synthetic_003_2,ceftazidime,Resistant,Synthetic fixture
synthetic_003_2,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_003_2,gentamicin,Susceptible,Synthetic fixture
synthetic_003_2,meropenem,Susceptible,Synthetic fixture
synthetic_003_3,ceftazidime,Resistant,Synthetic fixture
synthetic_003_3,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_003_3,gentamicin,Susceptible,Synthetic fixture
synthetic_003_3,meropenem,Susceptible,Synthetic fixture
synthetic_004_0,ceftazidime,Susceptible,Synthetic fixture
synthetic_004_0,ciprofloxacin,Resistant,Synthetic fixture
synthetic_004_0,gentamicin,Resistant,Synthetic fixture
synthetic_004_0,meropenem,Susceptible,Synthetic fixture
synthetic_004_1,ceftazidime,Susceptible,Synthetic fixture
synthetic_004_1,ciprofloxacin,Resistant,Synthetic fixture
synthetic_004_1,gentamicin,Resistant,Synthetic fixture
synthetic_004_1,meropenem,Susceptible,Synthetic fixture
synthetic_004_2,ceftazidime,Susceptible,Synthetic fixture
synthetic_004_2,ciprofloxacin,Resistant,Synthetic fixture
synthetic_004_2,gentamicin,Resistant,Synthetic fixture
synthetic_004_2,meropenem,Susceptible,Synthetic fixture
synthetic_004_3,ceftazidime,Susceptible,Synthetic fixture
synthetic_004_3,ciprofloxacin,Resistant,Synthetic fixture
synthetic_004_3,gentamicin,Resistant,Synthetic fixture
synthetic_004_3,meropenem,Susceptible,Synthetic fixture
synthetic_005_0,ceftazidime,Susceptible,Synthetic fixture
synthetic_005_0,ciprofloxacin,Resistant,Synthetic fixture
synthetic_005_0,gentamicin,Susceptible,Synthetic fixture
synthetic_005_0,meropenem,Resistant,Synthetic fixture
synthetic_005_1,ceftazidime,Susceptible,Synthetic fixture
synthetic_005_1,ciprofloxacin,Resistant,Synthetic fixture
synthetic_005_1,gentamicin,Susceptible,Synthetic fixture
synthetic_005_1,meropenem,Resistant,Synthetic fixture
synthetic_005_2,ceftazidime,Susceptible,Synthetic fixture
synthetic_005_2,ciprofloxacin,Resistant,Synthetic fixture
synthetic_005_2,gentamicin,Susceptible,Synthetic fixture
synthetic_005_2,meropenem,Resistant,Synthetic fixture
synthetic_005_3,ceftazidime,Susceptible,Synthetic fixture
synthetic_005_3,ciprofloxacin,Resistant,Synthetic fixture
synthetic_005_3,gentamicin,Susceptible,Synthetic fixture
synthetic_005_3,meropenem,Resistant,Synthetic fixture
synthetic_006_0,ceftazidime,Susceptible,Synthetic fixture
synthetic_006_0,ciprofloxacin,Resistant,Synthetic fixture
synthetic_006_0,gentamicin,Susceptible,Synthetic fixture
synthetic_006_0,meropenem,Resistant,Synthetic fixture
synthetic_006_1,ceftazidime,Susceptible,Synthetic fixture
synthetic_006_1,ciprofloxacin,Resistant,Synthetic fixture
synthetic_006_1,gentamicin,Susceptible,Synthetic fixture
synthetic_006_1,meropenem,Resistant,Synthetic fixture
synthetic_006_2,ceftazidime,Susceptible,Synthetic fixture
synthetic_006_2,ciprofloxacin,Resistant,Synthetic fixture
synthetic_006_2,gentamicin,Susceptible,Synthetic fixture
synthetic_006_2,meropenem,Resistant,Synthetic fixture
synthetic_006_3,ceftazidime,Susceptible,Synthetic fixture
synthetic_006_3,ciprofloxacin,Resistant,Synthetic fixture
synthetic_006_3,gentamicin,Susceptible,Synthetic fixture
synthetic_006_3,meropenem,Resistant,Synthetic fixture
synthetic_007_0,ceftazidime,Resistant,Synthetic fixture
synthetic_007_0,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_007_0,gentamicin,Susceptible,Synthetic fixture
synthetic_007_0,meropenem,Susceptible,Synthetic fixture
synthetic_007_1,ceftazidime,Resistant,Synthetic fixture
synthetic_007_1,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_007_1,gentamicin,Susceptible,Synthetic fixture
synthetic_007_1,meropenem,Susceptible,Synthetic fixture
synthetic_007_2,ceftazidime,Resistant,Synthetic fixture
synthetic_007_2,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_007_2,gentamicin,Susceptible,Synthetic fixture
synthetic_007_2,meropenem,Susceptible,Synthetic fixture
synthetic_007_3,ceftazidime,Resistant,Synthetic fixture
synthetic_007_3,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_007_3,gentamicin,Susceptible,Synthetic fixture
synthetic_007_3,meropenem,Susceptible,Synthetic fixture
synthetic_008_0,ceftazidime,Resistant,Synthetic fixture
synthetic_008_0,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_008_0,gentamicin,Resistant,Synthetic fixture
synthetic_008_0,meropenem,Susceptible,Synthetic fixture
synthetic_008_1,ceftazidime,Resistant,Synthetic fixture
synthetic_008_1,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_008_1,gentamicin,Resistant,Synthetic fixture
synthetic_008_1,meropenem,Susceptible,Synthetic fixture
synthetic_008_2,ceftazidime,Resistant,Synthetic fixture
synthetic_008_2,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_008_2,gentamicin,Resistant,Synthetic fixture
synthetic_008_2,meropenem,Susceptible,Synthetic fixture
synthetic_008_3,ceftazidime,Resistant,Synthetic fixture
synthetic_008_3,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_008_3,gentamicin,Resistant,Synthetic fixture
synthetic_008_3,meropenem,Susceptible,Synthetic fixture
synthetic_009_0,ceftazidime,Susceptible,Synthetic fixture
synthetic_009_0,ciprofloxacin,Resistant,Synthetic fixture
synthetic_009_0,gentamicin,Resistant,Synthetic fixture
synthetic_009_0,meropenem,Susceptible,Synthetic fixture
synthetic_009_1,ceftazidime,Susceptible,Synthetic fixture
synthetic_009_1,ciprofloxacin,Resistant,Synthetic fixture
synthetic_009_1,gentamicin,Resistant,Synthetic fixture
synthetic_009_1,meropenem,Susceptible,Synthetic fixture
synthetic_009_2,ceftazidime,Susceptible,Synthetic fixture
synthetic_009_2,ciprofloxacin,Resistant,Synthetic fixture
synthetic_009_2,gentamicin,Resistant,Synthetic fixture
synthetic_009_2,meropenem,Susceptible,Synthetic fixture
synthetic_009_3,ceftazidime,Susceptible,Synthetic fixture
synthetic_009_3,ciprofloxacin,Resistant,Synthetic fixture
synthetic_009_3,gentamicin,Resistant,Synthetic fixture
synthetic_009_3,meropenem,Susceptible,Synthetic fixture
synthetic_010_0,ceftazidime,Susceptible,Synthetic fixture
synthetic_010_0,ciprofloxacin,Resistant,Synthetic fixture
synthetic_010_0,gentamicin,Susceptible,Synthetic fixture
synthetic_010_0,meropenem,Resistant,Synthetic fixture
synthetic_010_1,ceftazidime,Susceptible,Synthetic fixture
synthetic_010_1,ciprofloxacin,Resistant,Synthetic fixture
synthetic_010_1,gentamicin,Susceptible,Synthetic fixture
synthetic_010_1,meropenem,Resistant,Synthetic fixture
synthetic_010_2,ceftazidime,Susceptible,Synthetic fixture
synthetic_010_2,ciprofloxacin,Resistant,Synthetic fixture
synthetic_010_2,gentamicin,Susceptible,Synthetic fixture
synthetic_010_2,meropenem,Resistant,Synthetic fixture
synthetic_010_3,ceftazidime,Susceptible,Synthetic fixture
synthetic_010_3,ciprofloxacin,Resistant,Synthetic fixture
synthetic_010_3,gentamicin,Susceptible,Synthetic fixture
synthetic_010_3,meropenem,Resistant,Synthetic fixture
synthetic_011_0,ceftazidime,Susceptible,Synthetic fixture
synthetic_011_0,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_011_0,gentamicin,Susceptible,Synthetic fixture
synthetic_011_0,meropenem,Resistant,Synthetic fixture
synthetic_011_1,ceftazidime,Susceptible,Synthetic fixture
synthetic_011_1,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_011_1,gentamicin,Susceptible,Synthetic fixture
synthetic_011_1,meropenem,Resistant,Synthetic fixture
synthetic_011_2,ceftazidime,Susceptible,Synthetic fixture
synthetic_011_2,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_011_2,gentamicin,Susceptible,Synthetic fixture
synthetic_011_2,meropenem,Resistant,Synthetic fixture
synthetic_011_3,ceftazidime,Susceptible,Synthetic fixture
synthetic_011_3,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_011_3,gentamicin,Susceptible,Synthetic fixture
synthetic_011_3,meropenem,Resistant,Synthetic fixture
synthetic_012_0,ceftazidime,Resistant,Synthetic fixture
synthetic_012_0,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_012_0,gentamicin,Resistant,Synthetic fixture
synthetic_012_0,meropenem,Susceptible,Synthetic fixture
synthetic_012_1,ceftazidime,Resistant,Synthetic fixture
synthetic_012_1,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_012_1,gentamicin,Resistant,Synthetic fixture
synthetic_012_1,meropenem,Susceptible,Synthetic fixture
synthetic_012_2,ceftazidime,Resistant,Synthetic fixture
synthetic_012_2,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_012_2,gentamicin,Resistant,Synthetic fixture
synthetic_012_2,meropenem,Susceptible,Synthetic fixture
synthetic_012_3,ceftazidime,Resistant,Synthetic fixture
synthetic_012_3,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_012_3,gentamicin,Resistant,Synthetic fixture
synthetic_012_3,meropenem,Susceptible,Synthetic fixture
synthetic_013_0,ceftazidime,Resistant,Synthetic fixture
synthetic_013_0,ciprofloxacin,Resistant,Synthetic fixture
synthetic_013_0,gentamicin,Resistant,Synthetic fixture
synthetic_013_0,meropenem,Susceptible,Synthetic fixture
synthetic_013_1,ceftazidime,Resistant,Synthetic fixture
synthetic_013_1,ciprofloxacin,Resistant,Synthetic fixture
synthetic_013_1,gentamicin,Resistant,Synthetic fixture
synthetic_013_1,meropenem,Susceptible,Synthetic fixture
synthetic_013_2,ceftazidime,Resistant,Synthetic fixture
synthetic_013_2,ciprofloxacin,Resistant,Synthetic fixture
synthetic_013_2,gentamicin,Resistant,Synthetic fixture
synthetic_013_2,meropenem,Susceptible,Synthetic fixture
synthetic_013_3,ceftazidime,Resistant,Synthetic fixture
synthetic_013_3,ciprofloxacin,Resistant,Synthetic fixture
synthetic_013_3,gentamicin,Resistant,Synthetic fixture
synthetic_013_3,meropenem,Susceptible,Synthetic fixture
synthetic_014_0,ceftazidime,Susceptible,Synthetic fixture
synthetic_014_0,ciprofloxacin,Resistant,Synthetic fixture
synthetic_014_0,gentamicin,Resistant,Synthetic fixture
synthetic_014_0,meropenem,Susceptible,Synthetic fixture
synthetic_014_1,ceftazidime,Susceptible,Synthetic fixture
synthetic_014_1,ciprofloxacin,Resistant,Synthetic fixture
synthetic_014_1,gentamicin,Resistant,Synthetic fixture
synthetic_014_1,meropenem,Susceptible,Synthetic fixture
synthetic_014_2,ceftazidime,Susceptible,Synthetic fixture
synthetic_014_2,ciprofloxacin,Resistant,Synthetic fixture
synthetic_014_2,gentamicin,Resistant,Synthetic fixture
synthetic_014_2,meropenem,Susceptible,Synthetic fixture
synthetic_014_3,ceftazidime,Susceptible,Synthetic fixture
synthetic_014_3,ciprofloxacin,Resistant,Synthetic fixture
synthetic_014_3,gentamicin,Resistant,Synthetic fixture
synthetic_014_3,meropenem,Susceptible,Synthetic fixture
synthetic_015_0,ceftazidime,Susceptible,Synthetic fixture
synthetic_015_0,ciprofloxacin,Resistant,Synthetic fixture
synthetic_015_0,gentamicin,Susceptible,Synthetic fixture
synthetic_015_0,meropenem,Resistant,Synthetic fixture
synthetic_015_1,ceftazidime,Susceptible,Synthetic fixture
synthetic_015_1,ciprofloxacin,Resistant,Synthetic fixture
synthetic_015_1,gentamicin,Susceptible,Synthetic fixture
synthetic_015_1,meropenem,Resistant,Synthetic fixture
synthetic_015_2,ceftazidime,Susceptible,Synthetic fixture
synthetic_015_2,ciprofloxacin,Resistant,Synthetic fixture
synthetic_015_2,gentamicin,Susceptible,Synthetic fixture
synthetic_015_2,meropenem,Resistant,Synthetic fixture
synthetic_015_3,ceftazidime,Susceptible,Synthetic fixture
synthetic_015_3,ciprofloxacin,Resistant,Synthetic fixture
synthetic_015_3,gentamicin,Susceptible,Synthetic fixture
synthetic_015_3,meropenem,Resistant,Synthetic fixture
synthetic_016_0,ceftazidime,Resistant,Synthetic fixture
synthetic_016_0,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_016_0,gentamicin,Susceptible,Synthetic fixture
synthetic_016_0,meropenem,Resistant,Synthetic fixture
synthetic_016_1,ceftazidime,Resistant,Synthetic fixture
synthetic_016_1,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_016_1,gentamicin,Susceptible,Synthetic fixture
synthetic_016_1,meropenem,Resistant,Synthetic fixture
synthetic_016_2,ceftazidime,Resistant,Synthetic fixture
synthetic_016_2,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_016_2,gentamicin,Susceptible,Synthetic fixture
synthetic_016_2,meropenem,Resistant,Synthetic fixture
synthetic_016_3,ceftazidime,Resistant,Synthetic fixture
synthetic_016_3,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_016_3,gentamicin,Susceptible,Synthetic fixture
synthetic_016_3,meropenem,Resistant,Synthetic fixture
synthetic_017_0,ceftazidime,Resistant,Synthetic fixture
synthetic_017_0,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_017_0,gentamicin,Susceptible,Synthetic fixture
synthetic_017_0,meropenem,Susceptible,Synthetic fixture
synthetic_017_1,ceftazidime,Resistant,Synthetic fixture
synthetic_017_1,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_017_1,gentamicin,Susceptible,Synthetic fixture
synthetic_017_1,meropenem,Susceptible,Synthetic fixture
synthetic_017_2,ceftazidime,Resistant,Synthetic fixture
synthetic_017_2,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_017_2,gentamicin,Susceptible,Synthetic fixture
synthetic_017_2,meropenem,Susceptible,Synthetic fixture
synthetic_017_3,ceftazidime,Resistant,Synthetic fixture
synthetic_017_3,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_017_3,gentamicin,Susceptible,Synthetic fixture
synthetic_017_3,meropenem,Susceptible,Synthetic fixture
synthetic_018_0,ceftazidime,Resistant,Synthetic fixture
synthetic_018_0,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_018_0,gentamicin,Resistant,Synthetic fixture
synthetic_018_0,meropenem,Susceptible,Synthetic fixture
synthetic_018_1,ceftazidime,Resistant,Synthetic fixture
synthetic_018_1,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_018_1,gentamicin,Resistant,Synthetic fixture
synthetic_018_1,meropenem,Susceptible,Synthetic fixture
synthetic_018_2,ceftazidime,Resistant,Synthetic fixture
synthetic_018_2,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_018_2,gentamicin,Resistant,Synthetic fixture
synthetic_018_2,meropenem,Susceptible,Synthetic fixture
synthetic_018_3,ceftazidime,Resistant,Synthetic fixture
synthetic_018_3,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_018_3,gentamicin,Resistant,Synthetic fixture
synthetic_018_3,meropenem,Susceptible,Synthetic fixture
synthetic_019_0,ceftazidime,Susceptible,Synthetic fixture
synthetic_019_0,ciprofloxacin,Resistant,Synthetic fixture
synthetic_019_0,gentamicin,Resistant,Synthetic fixture
synthetic_019_0,meropenem,Susceptible,Synthetic fixture
synthetic_019_1,ceftazidime,Susceptible,Synthetic fixture
synthetic_019_1,ciprofloxacin,Resistant,Synthetic fixture
synthetic_019_1,gentamicin,Resistant,Synthetic fixture
synthetic_019_1,meropenem,Susceptible,Synthetic fixture
synthetic_019_2,ceftazidime,Susceptible,Synthetic fixture
synthetic_019_2,ciprofloxacin,Resistant,Synthetic fixture
synthetic_019_2,gentamicin,Resistant,Synthetic fixture
synthetic_019_2,meropenem,Susceptible,Synthetic fixture
synthetic_019_3,ceftazidime,Susceptible,Synthetic fixture
synthetic_019_3,ciprofloxacin,Resistant,Synthetic fixture
synthetic_019_3,gentamicin,Resistant,Synthetic fixture
synthetic_019_3,meropenem,Susceptible,Synthetic fixture
synthetic_020_0,ceftazidime,Susceptible,Synthetic fixture
synthetic_020_0,ciprofloxacin,Resistant,Synthetic fixture
synthetic_020_0,gentamicin,Susceptible,Synthetic fixture
synthetic_020_0,meropenem,Resistant,Synthetic fixture
synthetic_020_1,ceftazidime,Susceptible,Synthetic fixture
synthetic_020_1,ciprofloxacin,Resistant,Synthetic fixture
synthetic_020_1,gentamicin,Susceptible,Synthetic fixture
synthetic_020_1,meropenem,Resistant,Synthetic fixture
synthetic_020_2,ceftazidime,Susceptible,Synthetic fixture
synthetic_020_2,ciprofloxacin,Resistant,Synthetic fixture
synthetic_020_2,gentamicin,Susceptible,Synthetic fixture
synthetic_020_2,meropenem,Resistant,Synthetic fixture
synthetic_020_3,ceftazidime,Susceptible,Synthetic fixture
synthetic_020_3,ciprofloxacin,Resistant,Synthetic fixture
synthetic_020_3,gentamicin,Susceptible,Synthetic fixture
synthetic_020_3,meropenem,Resistant,Synthetic fixture
synthetic_021_0,ceftazidime,Susceptible,Synthetic fixture
synthetic_021_0,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_021_0,gentamicin,Susceptible,Synthetic fixture
synthetic_021_0,meropenem,Resistant,Synthetic fixture
synthetic_021_1,ceftazidime,Susceptible,Synthetic fixture
synthetic_021_1,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_021_1,gentamicin,Susceptible,Synthetic fixture
synthetic_021_1,meropenem,Resistant,Synthetic fixture
synthetic_021_2,ceftazidime,Susceptible,Synthetic fixture
synthetic_021_2,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_021_2,gentamicin,Susceptible,Synthetic fixture
synthetic_021_2,meropenem,Resistant,Synthetic fixture
synthetic_021_3,ceftazidime,Susceptible,Synthetic fixture
synthetic_021_3,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_021_3,gentamicin,Susceptible,Synthetic fixture
synthetic_021_3,meropenem,Resistant,Synthetic fixture
synthetic_022_0,ceftazidime,Resistant,Synthetic fixture
synthetic_022_0,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_022_0,gentamicin,Susceptible,Synthetic fixture
synthetic_022_0,meropenem,Susceptible,Synthetic fixture
synthetic_022_1,ceftazidime,Resistant,Synthetic fixture
synthetic_022_1,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_022_1,gentamicin,Susceptible,Synthetic fixture
synthetic_022_1,meropenem,Susceptible,Synthetic fixture
synthetic_022_2,ceftazidime,Resistant,Synthetic fixture
synthetic_022_2,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_022_2,gentamicin,Susceptible,Synthetic fixture
synthetic_022_2,meropenem,Susceptible,Synthetic fixture
synthetic_022_3,ceftazidime,Resistant,Synthetic fixture
synthetic_022_3,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_022_3,gentamicin,Susceptible,Synthetic fixture
synthetic_022_3,meropenem,Susceptible,Synthetic fixture
synthetic_023_0,ceftazidime,Resistant,Synthetic fixture
synthetic_023_0,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_023_0,gentamicin,Resistant,Synthetic fixture
synthetic_023_0,meropenem,Resistant,Synthetic fixture
synthetic_023_1,ceftazidime,Resistant,Synthetic fixture
synthetic_023_1,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_023_1,gentamicin,Resistant,Synthetic fixture
synthetic_023_1,meropenem,Resistant,Synthetic fixture
synthetic_023_2,ceftazidime,Resistant,Synthetic fixture
synthetic_023_2,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_023_2,gentamicin,Resistant,Synthetic fixture
synthetic_023_2,meropenem,Resistant,Synthetic fixture
synthetic_023_3,ceftazidime,Resistant,Synthetic fixture
synthetic_023_3,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_023_3,gentamicin,Resistant,Synthetic fixture
synthetic_023_3,meropenem,Resistant,Synthetic fixture
synthetic_024_0,ceftazidime,Susceptible,Synthetic fixture
synthetic_024_0,ciprofloxacin,Resistant,Synthetic fixture
synthetic_024_0,gentamicin,Resistant,Synthetic fixture
synthetic_024_0,meropenem,Susceptible,Synthetic fixture
synthetic_024_1,ceftazidime,Susceptible,Synthetic fixture
synthetic_024_1,ciprofloxacin,Resistant,Synthetic fixture
synthetic_024_1,gentamicin,Resistant,Synthetic fixture
synthetic_024_1,meropenem,Susceptible,Synthetic fixture
synthetic_024_2,ceftazidime,Susceptible,Synthetic fixture
synthetic_024_2,ciprofloxacin,Resistant,Synthetic fixture
synthetic_024_2,gentamicin,Resistant,Synthetic fixture
synthetic_024_2,meropenem,Susceptible,Synthetic fixture
synthetic_024_3,ceftazidime,Susceptible,Synthetic fixture
synthetic_024_3,ciprofloxacin,Resistant,Synthetic fixture
synthetic_024_3,gentamicin,Resistant,Synthetic fixture
synthetic_024_3,meropenem,Susceptible,Synthetic fixture
synthetic_025_0,ceftazidime,Susceptible,Synthetic fixture
synthetic_025_0,ciprofloxacin,Resistant,Synthetic fixture
synthetic_025_0,gentamicin,Susceptible,Synthetic fixture
synthetic_025_0,meropenem,Resistant,Synthetic fixture
synthetic_025_1,ceftazidime,Susceptible,Synthetic fixture
synthetic_025_1,ciprofloxacin,Resistant,Synthetic fixture
synthetic_025_1,gentamicin,Susceptible,Synthetic fixture
synthetic_025_1,meropenem,Resistant,Synthetic fixture
synthetic_025_2,ceftazidime,Susceptible,Synthetic fixture
synthetic_025_2,ciprofloxacin,Resistant,Synthetic fixture
synthetic_025_2,gentamicin,Susceptible,Synthetic fixture
synthetic_025_2,meropenem,Resistant,Synthetic fixture
synthetic_025_3,ceftazidime,Susceptible,Synthetic fixture
synthetic_025_3,ciprofloxacin,Resistant,Synthetic fixture
synthetic_025_3,gentamicin,Susceptible,Synthetic fixture
synthetic_025_3,meropenem,Resistant,Synthetic fixture
synthetic_026_0,ceftazidime,Susceptible,Synthetic fixture
synthetic_026_0,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_026_0,gentamicin,Resistant,Synthetic fixture
synthetic_026_0,meropenem,Resistant,Synthetic fixture
synthetic_026_1,ceftazidime,Susceptible,Synthetic fixture
synthetic_026_1,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_026_1,gentamicin,Resistant,Synthetic fixture
synthetic_026_1,meropenem,Resistant,Synthetic fixture
synthetic_026_2,ceftazidime,Susceptible,Synthetic fixture
synthetic_026_2,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_026_2,gentamicin,Resistant,Synthetic fixture
synthetic_026_2,meropenem,Resistant,Synthetic fixture
synthetic_026_3,ceftazidime,Susceptible,Synthetic fixture
synthetic_026_3,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_026_3,gentamicin,Resistant,Synthetic fixture
synthetic_026_3,meropenem,Resistant,Synthetic fixture
synthetic_027_0,ceftazidime,Resistant,Synthetic fixture
synthetic_027_0,ciprofloxacin,Resistant,Synthetic fixture
synthetic_027_0,gentamicin,Susceptible,Synthetic fixture
synthetic_027_0,meropenem,Susceptible,Synthetic fixture
synthetic_027_1,ceftazidime,Resistant,Synthetic fixture
synthetic_027_1,ciprofloxacin,Resistant,Synthetic fixture
synthetic_027_1,gentamicin,Susceptible,Synthetic fixture
synthetic_027_1,meropenem,Susceptible,Synthetic fixture
synthetic_027_2,ceftazidime,Resistant,Synthetic fixture
synthetic_027_2,ciprofloxacin,Resistant,Synthetic fixture
synthetic_027_2,gentamicin,Susceptible,Synthetic fixture
synthetic_027_2,meropenem,Susceptible,Synthetic fixture
synthetic_027_3,ceftazidime,Resistant,Synthetic fixture
synthetic_027_3,ciprofloxacin,Resistant,Synthetic fixture
synthetic_027_3,gentamicin,Susceptible,Synthetic fixture
synthetic_027_3,meropenem,Susceptible,Synthetic fixture
synthetic_028_0,ceftazidime,Resistant,Synthetic fixture
synthetic_028_0,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_028_0,gentamicin,Resistant,Synthetic fixture
synthetic_028_0,meropenem,Susceptible,Synthetic fixture
synthetic_028_1,ceftazidime,Resistant,Synthetic fixture
synthetic_028_1,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_028_1,gentamicin,Resistant,Synthetic fixture
synthetic_028_1,meropenem,Susceptible,Synthetic fixture
synthetic_028_2,ceftazidime,Resistant,Synthetic fixture
synthetic_028_2,ciprofloxacin,Susceptible,Synthetic fixture
synthetic_028_2,gentamicin,Resistant,Synthetic fixture
synthetic_028_2,meropenem,Susceptible,Synthetic fixture
