genome_id,cluster_id,split
synthetic_015_3,cluster_015,train
synthetic_016_0,cluster_016,train
synthetic_016_1,cluster_016,train
synthetic_016_2,cluster_016,train
synthetic_016_3,cluster_016,train
synthetic_017_0,cluster_017,train
synthetic_017_1,cluster_017,train
synthetic_017_2,cluster_017,train
synthetic_017_3,cluster_017,train
synthetic_018_0,cluster_018,train
synthetic_018_1,cluster_018,train
synthetic_018_2,cluster_018,train
synthetic_018_3,cluster_018,train
synthetic_019_0,cluster_019,train
synthetic_019_1,cluster_019,train
synthetic_019_2,cluster_019,train
synthetic_019_3,cluster_019,train
synthetic_020_0,cluster_020,train
synthetic_020_1,cluster_020,train
synthetic_020_2,cluster_020,train
synthetic_020_3,cluster_020,train
synthetic_021_0,cluster_021,train
synthetic_021_1,cluster_021,train
synthetic_021_2,cluster_021,train
synthetic_021_3,cluster_021,train
synthetic_022_0,cluster_022,train
synthetic_022_1,cluster_022,train
synthetic_022_2,cluster_022,train
synthetic_022_3,cluster_022,train
synthetic_023_0,cluster_023,train
synthetic_023_1,cluster_023,train
synthetic_023_2,cluster_023,train
synthetic_023_3,cluster_023,train
synthetic_024_0,cluster_024,train
synthetic_024_1,cluster_024,train
synthetic_024_2,cluster_024,train
synthetic_024_3,cluster_024,train
synthetic_025_0,cluster_025,train
synthetic_025_1,cluster_025,train
synthetic_025_2,cluster_025,train
synthetic_025_3,cluster_025,train
synthetic_026_0,cluster_026,train
synthetic_026_1,cluster_026,train
synthetic_026_2,cluster_026,train
synthetic_026_3,cluster_026,train
synthetic_027_0,cluster_027,train
synthetic_027_1,cluster_027,train
synthetic_027_2,cluster_027,train
synthetic_027_3,cluster_027,train
synthetic_028_0,cluster_028,train
synthetic_028_1,cluster_028,train
synthetic_028_2,cluster_028,train
synthetic_028_3,cluster_028,train
synthetic_029_0,cluster_029,train
synthetic_029_1,cluster_029,train
synthetic_029_2,cluster_029,train
synthetic_029_3,cluster_029,train
synthetic_030_0,cluster_030,train
synthetic_030_1,cluster_030,train
synthetic_030_2,cluster_030,train
synthetic_030_3,cluster_030,train
synthetic_031_0,cluster_031,train
synthetic_031_1,cluster_031,train
synthetic_031_2,cluster_031,train
synthetic_031_3,cluster_031,train
synthetic_032_0,cluster_032,train
synthetic_032_1,cluster_032,train
synthetic_032_2,cluster_032,train
synthetic_032_3,cluster_032,train
synthetic_033_0,cluster_033,train
synthetic_033_1,cluster_033,train
synthetic_033_2,cluster_033,train
synthetic_033_3,cluster_033,train
synthetic_034_0,cluster_034,train
synthetic_034_1,cluster_034,train
synthetic_034_2,cluster_034,train
synthetic_034_3,cluster_034,train
synthetic_035_0,cluster_035,train
synthetic_035_1,cluster_035,train
synthetic_035_2,cluster_035,train
synthetic_035_3,cluster_035,train
synthetic_036_0,cluster_036,train
synthetic_036_1,cluster_036,train
synthetic_036_2,cluster_036,train
synthetic_036_3,cluster_036,train
synthetic_037_0,cluster_037,train
synthetic_037_1,cluster_037,train
synthetic_037_2,cluster_037,train
synthetic_037_3,cluster_037,train
synthetic_038_0,cluster_038,train
synthetic_038_1,cluster_038,train
synthetic_038_2,cluster_038,train
synthetic_038_3,cluster_038,train
synthetic_039_0,cluster_039,train
synthetic_039_1,cluster_039,train
synthetic_039_2,cluster_039,train
synthetic_039_3,cluster_039,train
synthetic_040_0,cluster_040,calibration
synthetic_040_1,cluster_040,calibration
synthetic_040_2,cluster_040,calibration
synthetic_040_3,cluster_040,calibration
synthetic_041_0,cluster_041,calibration
synthetic_041_1,cluster_041,calibration
synthetic_041_2,cluster_041,calibration
synthetic_041_3,cluster_041,calibration
synthetic_042_0,cluster_042,calibration
synthetic_042_1,cluster_042,calibration
synthetic_042_2,cluster_042,calibration
synthetic_042_3,cluster_042,calibration
synthetic_043_0,cluster_043,calibration
synthetic_043_1,cluster_043,calibration
synthetic_043_2,cluster_043,calibration
synthetic_043_3,cluster_043,calibration
synthetic_044_0,cluster_044,calibration
synthetic_044_1,cluster_044,calibration
synthetic_044_2,cluster_044,calibration
synthetic_044_3,cluster_044,calibration
synthetic_045_0,cluster_045,calibration
synthetic_045_1,cluster_045,calibration
synthetic_045_2,cluster_045,calibration
synthetic_045_3,cluster_045,calibration
synthetic_046_0,cluster_046,calibration
synthetic_046_1,cluster_046,calibration
synthetic_046_2,cluster_046,calibration
synthetic_046_3,cluster_046,calibration
synthetic_047_0,cluster_047,calibration
synthetic_047_1,cluster_047,calibration
synthetic_047_2,cluster_047,calibration
synthetic_047_3,cluster_047,calibration
synthetic_048_0,cluster_048,calibration
synthetic_048_1,cluster_048,calibration
synthetic_048_2,cluster_048,calibration
synthetic_048_3,cluster_048,calibration
synthetic_049_0,cluster_049,calibration
synthetic_049_1,cluster_049,calibration
synthetic_049_2,cluster_049,calibration
synthetic_049_3,cluster_049,calibration
synthetic_050_0,cluster_050,test
synthetic_050_1,cluster_050,test
synthetic_050_2,cluster_050,test
synthetic_050_3,cluster_050,test
synthetic_051_0,cluster_051,test
synthetic_051_1,cluster_051,test
synthetic_051_2,cluster_051,test
synthetic_051_3,cluster_051,test
synthetic_052_0,cluster_052,test
synthetic_052_1,cluster_052,test
synthetic_052_2,cluster_052,test
synthetic_052_3,cluster_052,test
synthetic_053_0,cluster_053,test
synthetic_053_1,cluster_053,test
synthetic_053_2,cluster_053,test
synthetic_053_3,cluster_053,test
synthetic_054_0,cluster_054,test
synthetic_054_1,cluster_054,test
synthetic_054_2,cluster_054,test
synthetic_054_3,cluster_054,test
synthetic_055_0,cluster_055,test
synthetic_055_1,cluster_055,test
synthetic_055_2,cluster_055,test
synthetic_055_3,cluster_055,test
synthetic_056_0,cluster_056,test
synthetic_056_1,cluster_056,test
synthetic_056_2,cluster_056,test
synthetic_056_3,cluster_056,test
synthetic_057_0,cluster_057,test
synthetic_057_1,cluster_057,test
synthetic_057_2,cluster_057,test
synthetic_057_3,cluster_057,test
synthetic_058_0,cluster_058,test
synthetic_058_1,cluster_058,test
synthetic_058_2,cluster_058,test
synthetic_058_3,cluster_058,test
synthetic_059_0,cluster_059,test
synthetic_059_1,cluster_059,test
synthetic_059_2,cluster_059,test
synthetic_059_3,cluster_059,test
